Year,Month,Abs_Temp
1966,3,12.998000000000001
1966,4,13.954
1966,5,14.841
1966,6,15.656
1966,7,16.023
1966,8,15.714
1966,9,15.183
1966,10,14.1
1966,11,13.207
1966,12,12.478
1967,1,12.129000000000001
1967,2,12.203
1967,3,13.099
1967,4,13.983
1967,5,15.148
1967,6,15.651
1967,7,15.951
1967,8,15.755
1967,9,15.142999999999999
1967,10,14.306
1967,11,13.135
1967,12,12.464
1968,1,12.019
1968,2,12.283
1968,3,13.172
1968,4,13.929
1968,5,14.821
1968,6,15.587
1968,7,15.747
1968,8,15.641
1968,9,14.952
1968,10,14.342
1968,11,13.162
1968,12,12.432
1969,1,12.185
1969,2,12.325
1969,3,13.027000000000001
1969,4,14.15
1969,5,15.171999999999999
1969,6,15.771
1969,7,15.842
1969,8,15.761
1969,9,15.218
1969,10,14.335
1969,11,13.315000000000001
1969,12,12.772
1970,1,12.363000000000001
1970,2,12.604
